,country_code,gdp_per_capita,total_co2,co2_per_cap,population,country_x,country_y,standardized
212,SRB,7252.401858,46130.00107,6.606418045,6982604,Serbia,Serbia,Serbia
213,SYC,16910.66792,579.9999833,5.994088416,96762,Seychelles,Seychelles,Seychelles
214,SLE,533.9915333,860.0000143,0.112416113,7650149,Sierra Leone,Sierra Leone,Sierra Leone
215,SGP,66859.33834,47400.00153,8.406228967,5638676,Singapore,Singapore,Singapore
216,SXM,28988.25921,,,40895,Sint Maarten (Dutch part),Sint Maarten (Dutch part),Sint Maarten (Dutch part)
217,SVK,19389.98216,33000,6.058635474,5446771,Slovak Republic,Slovak Republic,Slovakia
218,SVN,26116.85636,14069.99969,6.784338879,2073894,Slovenia,Slovenia,Slovenia
219,SLB,2411.897904,360.0000143,0.551423307,652856,Solomon Islands,Solomon Islands,Solomon Islands
220,SOM,389.8313955,660.0000262,0.043975888,15008225,Somalia,Somalia,Somalia
221,ZAF,7005.095413,434350.0061,7.515678605,57792520,South Africa,South Africa,South Africa
222,SSD,,1549.999952,0.141218175,10975924,South Sudan,South Sudan,South Sudan
223,ESP,30364.57994,257040.0085,5.492571471,46797754,Spain,Spain,Spain
224,LKA,4059.20823,21690.00053,1.00092296,21670000,Sri Lanka,Sri Lanka,Sri Lanka
225,KNA,20567.25826,250,4.767534994,52438,St. Kitts and Nevis,St. Kitts and Nevis,St. Kitts and Nevis
226,LCA,11353.71523,529.9999714,2.913848872,181890,St. Lucia,St. Lucia,St. Lucia
227,MAF,,,,37264,St. Martin (French part),St. Martin (French part),St. Martin (French part)
228,VCT,8024.028496,250,2.268396697,110210,St. Vincent and the Grenadines,St. Vincent and the Grenadines,St. Vincent and the Grenadines
229,SDN,773.5070801,20860.00061,0.499024787,41801532,Sudan,Sudan,Sudan
230,SUR,6938.086981,2210.000038,3.836892218,575987,Suriname,Suriname,Suriname
231,SWE,54589.06039,36009.99832,3.538991742,10175214,Sweden,Sweden,Sweden
232,CHE,86388.40495,37479.99954,4.40199099,8514329,Switzerland,Switzerland,Switzerland
233,SYR,1265.60619,27389.99939,1.616400069,16945062,Syrian Arab Republic,Syrian Arab Republic,Syria
234,TJK,853.2188734,8680.000305,0.953757415,9100847,Tajikistan,Tajikistan,Tajikistan
235,TZA,1042.838745,12000,0.213092987,56313444,Tanzania,Tanzania,Tanzania
236,THA,7298.947146,257049.9878,3.702372341,69428454,Thailand,Thailand,Thailand
237,TLS,1249.138351,610.0000143,0.481082052,1267975,Timor-Leste,Timor-Leste,Timor-Leste
238,TGO,901.5230169,2309.999943,0.292809244,7889095,Togo,Togo,Togo
239,TON,4740.700272,159.9999964,1.550402586,103199,Tonga,Tonga,Tonga
240,TTO,17139.18567,17780.00069,12.79283075,1389841,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago
241,TUN,3690.896932,29889.99939,2.584476847,11565203,Tunisia,Tunisia,Tunisia
242,TUR,9454.348443,411730.011,5.000359011,82340090,Türkiye,Türkiye,Turkey
243,TKM,6967.375043,73050.00305,12.48525493,5850902,Turkmenistan,Turkmenistan,Turkmenistan
244,TCA,29553.1367,,,37667,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands
245,TUV,4156.305128,9.999999776,0.86918729,11505,Tuvalu,Tuvalu,Tuvalu
246,UGA,770.6007843,5860.000134,0.137143292,42729032,Uganda,Uganda,Uganda
247,UKR,3096.561768,185619.9951,4.159783074,44622518,Ukraine,Ukraine,Ukraine
248,ARE,43839.32449,177119.9951,18.39067806,9630966,United Arab Emirates,United Arab Emirates,United Arab Emirates
249,GBR,43646.95197,360730.011,5.427748177,66460344,United Kingdom,United Kingdom,United Kingdom
250,USA,62805.25376,4975310.059,15.22254765,326838199,United States,United States,United States
251,URY,18703.86029,6539.999962,1.896042363,3449290,Uruguay,Uruguay,Uruguay
252,UZB,1597.068337,112470.0012,3.412721809,32956100,Uzbekistan,Uzbekistan,Uzbekistan
253,VUT,3125.436014,209.9999934,0.71751941,292675,Vanuatu,Vanuatu,Vanuatu
254,VEN,,132130.0049,4.574011483,28887117,"Venezuela, RB","Venezuela, RB","Venezuela, RB"
255,VNM,3230.927713,285600.0061,2.989137469,95545959,Vietnam,Vietnam,Vietnam
256,VIR,36653.86305,,,107001,Virgin Islands (U.S.),Virgin Islands (U.S.),Virgin Island (U.S.)
257,PSE,3562.330943,,,4569087,West Bank and Gaza,West Bank and Gaza,Wallis and Futuna
258,YEM,758.1459489,9720.000267,0.341068402,28498683,"Yemen, Rep.","Yemen, Rep.",Yemen
259,ZMB,1516.368371,7730.000019,0.445489133,17351714,Zambia,Zambia,Zambia
260,ZWE,1254.642265,12380.00011,0.857411269,14438812,Zimbabwe,Zimbabwe,Zimbabwe
